# GTAC_scan    Target    Total_beams    uGMRT_band    Input_file (0 for RAW, 1 for FIL)
49_052_20251115_011539    J1022+1001_20251115_044831    160    BAND3    1
49_052_20251115_011539    J1125+7819_20251115_053112    160    BAND3    0
49_052_20260103_081526    3C286OFF_20260103_082424    160    BAND3    0
49_052_20260103_081526    3C48OFF_20260103_185628    160    BAND3    0
49_052_20260103_081526    J0030+0451_20260103_155511    160    BAND3    0
49_052_20260103_081526    J0034-0534_20260103_151412    160    BAND3    0
49_052_20260103_081526    J1600-3053_20260103_083655    160    BAND3    0
49_052_20260103_081526    J1643-1224_20260103_114339    160    BAND3    0
49_052_20260103_081526    J1713+0747_20260103_132722    160    BAND3    0
49_052_20260103_081526    J1730-2304_20260103_101625    160    BAND3    0
49_052_20260103_081526    J1744-1134_20260103_125542    160    BAND3    0
49_052_20260103_081526    J1857+0943_20260103_092410    160    BAND3    0
49_052_20260103_081526    J1909-3744_20260103_105751    160    BAND3    0
49_052_20260103_081526    J1939+2134_20260103_123006    160    BAND3    0
49_052_20260103_081526    J1944+0907_20260103_142052    160    BAND3    0
49_052_20260103_081526    J2124-3358_20260103_163818    160    BAND3    0
49_052_20260103_081526    J2145-0750_20260103_172440    160    BAND3    0
49_052_20260103_081526    J2302+4442_20260103_180252    160    BAND3    0
49_056_20251226_210032    J0134-1932_20251226_212039    160    BAND5    0
49_056_20251226_213145    J0142-3023_20251226_221409    160    BAND5    0
49_056_20251226_213145    J0339-0133_20251226_232309    160    BAND5    0
49_056_20251226_145356    J2003-3251_20251226_163138    160    BAND5    0
49_056_20251226_145356    J2142-4420_20251226_172859    160    BAND5    0
49_056_20251226_145356    J2207-4036_20251226_182840    160    BAND5    0
49_056_20251226_145356    J2349-3712_20251226_192722    160    BAND5    0
49_058_20251124_230120    J0129-0807_20251124_233102    160    BAND4    0
49_058_20251124_230120    J0741+312_20251125_003434    160    BAND4    0
49_058_20251124_230120    J0741+312_20251125_005405    160    BAND4    0
49_058_20251124_230120    J0804+3012_20251125_004248    160    BAND4    0
49_058_20251225_171353    J0211+1107_20251225_182442    160    BAND4    0
49_058_20251225_171353    J0211+1107_20251225_191000    160    BAND4    0
49_058_20251225_171353    J0211+1107_20251225_195631    160    BAND4    0
49_058_20251225_171353    J0211+1107_20251225_204543    160    BAND4    0
49_058_20251225_171353    J0211+1107_20251225_213100    160    BAND4    0
49_058_20251225_171353    J0211+1107_20251225_221556    160    BAND4    0
49_058_20251225_171353    J0211+1107_20251225_230111    160    BAND4    0
49_058_20251225_171353    J0211+1107_20251225_234607    160    BAND4    0
49_058_20251225_171353    J0211+1107_20251226_004345    160    BAND4    0
49_058_20251206_071706    J1400+0425_20251206_073149    160    BAND4    0
49_058_20251206_071706    J1519+1622_20251206_082655    160    BAND4    0
49_058_20251206_071706    J1519+1622_20251206_090618    160    BAND4    0
49_058_20251206_071706    J1519+1622_20251206_094551    160    BAND4    0
49_058_20251206_071706    J1519+1622_20251206_102712    160    BAND4    0
49_058_20251206_071706    J1519+1622_20251206_110601    160    BAND4    0
49_058_20251206_071706    J1554+1947_20251206_122122    160    BAND4    0
49_058_20251206_071706    J1615+2130_20251206_132548    160    BAND4    0
49_060_20251212_201116    NGC1550_20251213_013313    160    BAND4    0
49_060_20251212_201116    NGC1550_20251213_020355    160    BAND4    0
49_060_20251212_201116    NGC1550_20251213_023431    160    BAND4    0
49_060_20251212_201116    NGC1550_20251213_030512    160    BAND4    0
49_060_20251212_201116    NGC1550_20251213_033554    160    BAND4    0
49_060_20251209_202229    NGC1550_20251209_203254    160    BAND3    0
49_060_20251209_202229    NGC1550_20251209_210402    160    BAND3    0
49_060_20251209_202229    NGC1550_20251209_213511    160    BAND3    0
49_060_20251209_202229    NGC1550_20251209_220619    160    BAND3    0
49_060_20251209_202229    NGC1550_20251209_223733    160    BAND3    0
49_060_20251209_202229    NGC1550_20251209_230841    160    BAND3    0
49_060_20251209_202229    NGC1550_20251209_233954    160    BAND3    0
49_064_20251230_152419    3C48A0_20251230_155406    160    BAND5    0
49_064_20251230_152419    3C48A2_20251230_155647    160    BAND5    0
49_064_20251230_152419    3C48A3_20251230_155803    160    BAND5    0
49_064_20251230_152419    3C48A6_20251230_160158    160    BAND5    0
49_064_20251230_152419    3C48A7_20251230_160319    160    BAND5    0
49_064_20251230_152419    3C48A8_20251230_160439    160    BAND5    0
49_064_20251230_152419    3C48E0_20251230_154118    160    BAND5    0
49_064_20251230_152419    3C48E1_20251230_154306    160    BAND5    0
49_064_20251230_152419    3C48E2_20251230_154427    160    BAND5    0
49_064_20251230_152419    3C48E3_20251230_154541    160    BAND5    0
49_064_20251230_152419    3C48E6_20251230_154937    160    BAND5    0
49_064_20251230_152419    3C48E7_20251230_155053    160    BAND5    0
49_064_20251230_152419    NGC0262_20251230_173816    160    BAND5    0
49_077_20251201_165640    J2131+3624_20251201_171602    160    BAND5    0
49_078_20251220_071918    3C286E1_20251220_073633    160    BAND5    0
49_078_20251220_071918    3C286E3_20251220_073908    160    BAND5    0
49_078_20251220_071918    3C286E8_20251220_074540    160    BAND5    0
49_078_20251220_071918    ASASSN-15OI_20251220_082133    160    BAND5    0
49_086_20251129_041540    ABELL1060_20251129_043627    160    BAND4    0
49_086_20251129_041540    ABELL1060_20251129_051555    160    BAND4    0
49_086_20251129_041540    ABELL1060_20251129_055539    160    BAND4    0
49_086_20251129_041540    ABELL1060_20251129_063501    160    BAND4    0
49_086_20251129_041540    ABELL1060_20251129_071506    160    BAND4    0
49_086_20251129_041540    ABELL1060_20251129_075428    160    BAND4    0
49_088A_20260117_110859    test    160    BAND5    1
49_094_20251220_091838    B1931+24_20251220_141645    160    BAND4    0
49_094_20251220_091838    J1832+0029_20251220_094214    160    BAND4    0
49_094_20251220_091838    J1841-0500_20251220_104545    160    BAND4    0
49_094_20251220_091838    J1910+0517_20251220_115044    160    BAND4    0
49_094_20251220_091838    J1929+1357_20251220_125728    160    BAND4    0
49_099_20251222_050710    F251130A_NG_20251222_053326    160    BAND4    0
49_099_20251222_050710    J0742-2822_20251222_051918    160    BAND4    0
49_100_20260223_100907    S2_20260223_101805    160    BAND5    1
49_100_20260223_100907    S2_20260223_105611    160    BAND5    1
49_100_20260223_100907    S2_20260223_113632    160    BAND5    1
49_100_20260223_100907    S2_20260223_121659    160    BAND5    1
49_100_20260223_100907    S2_20260223_125720    160    BAND5    1
49_100_20260223_100907    S2_20260223_133830    160    BAND5    1
49_100_20260223_100907    S2_20260223_141857    160    BAND5    1
49_100_20260223_100907    S2_20260223_145923    160    BAND5    1
49_100_20260223_100907    S8_20260223_155029    160    BAND5    1
49_100_20260223_100907    S8_20260223_163117    160    BAND5    1
49_106_20260227_050010    J1728-2608_20260227_055246    160    BAND4    1
49_106_20260227_050010    J1800-2735_20260227_080951    160    BAND4    1
49_106_20260227_050010    J1816-3234_20260227_073916    160    BAND4    1
49_106_20260227_050010    J1818-3244_20260227_052210    160    BAND4    1
49_106_20260227_050010    J1818-3244_20260227_070900    160    BAND4    1
49_106_20260227_050010    J1818-3244_20260227_094535    160    BAND4    1
49_106_20260227_050010    J1824-3238_20260227_064346    160    BAND4    1
49_106_20260227_050010    J1837-3350_20260227_085353    160    BAND4    1
49_106_20260227_050010    J1840+1102_20260227_090812    160    BAND4    1
49_107_20260207_110908    1634+627E0_20260207_111804    160    BAND5    0
49_107_20260207_110908    1634+627E2_20260207_112041    160    BAND5    0
49_107_20260207_110908    1634+627E4_20260207_112316    160    BAND5    0
49_107_20260207_110908    1634+627E7_20260207_112707    160    BAND5    0
49_109_20260225_011039    J1634+44_20260225_013516    160    BAND4    1
49_109_20260225_011039    J1634+44_20260225_021652    160    BAND4    1
49_109_20260129_012117    J1634+44_20260129_040205    160    BAND4    0
49_109_20260129_012117    J1634+44_20260129_050927    160    BAND4    0
49_110_20260206_082248    3C286E1_20260206_093142    160    BAND5    0
49_110_20260206_082248    3C286E8_20260206_094237    160    BAND5    0
49_124_20251125_020857    OGLSF_20251125_024423    160    BAND5    0
49_124_20251125_020857    OGLSF_20251125_033117    160    BAND5    0
49_124_20251125_020857    OGLSF_20251125_041810    160    BAND5    0
49_124_20251125_020857    OGLSF_20251125_050503    160    BAND5    0
49_124_20251125_020857    OGLSF_20251125_055113    160    BAND5    0
49_126_20260208_160503    J0243-0909_20260208_163505    160    BAND3    0
49_126_20260119_192015    J0243-0909_20260119_202057    160    BAND3    0
49_126_20260119_192015    J0243-0935_20260119_211302    160    BAND3    0
49_126_20260119_192015    J0243-0935_20260119_215004    160    BAND3    0
49_126_20260119_192015    J0246-0847_20260119_224049    160    BAND3    0
49_126_20260119_192015    J0246-0847_20260119_231745    160    BAND3    0
49_132_20251125_093149    J1242-4712_20251125_104011    160    BAND3    0
49_132_20251125_093149    J1517-4306_20251125_112235    160    BAND3    0
49_132_20251125_093149    J1536-4948_20251125_115437    160    BAND3    0
49_132_20251125_093149    J1646-2142_20251125_122503    160    BAND3    0
49_138_20260228_040238    S3_20260228_043659    160    BAND5    1
49_138_20260228_040238    S3_20260228_051330    160    BAND5    1
49_138_20260228_040238    S3_20260228_055000    160    BAND5    1
49_138_20260228_040238    S3_20260228_062630    160    BAND5    1
49_138_20260228_040238    S3_20260228_070344    160    BAND5    1
49_138_20260228_040238    S3_20260228_081414    160    BAND5    1
49_138_20260228_040238    S3_20260228_085107    160    BAND5    1
49_138_20260228_040238    S3_20260228_092759    160    BAND5    1
49_138_20260203_061206    S1_20260203_070004    160    BAND5    0
49_138_20260203_061206    S1_20260203_081201    160    BAND5    0
49_138_20260203_061206    S1_20260203_095340    160    BAND5    0
49_138_20260203_061206    S1_20260203_110910    160    BAND5    0
49_138_20260203_061206    S2_20260203_073613    160    BAND5    0
49_138_20260203_061206    S2_20260203_084831    160    BAND5    0
49_138_20260203_061206    S2_20260203_103009    160    BAND5    0
49_138_20260225_042441    S1_20260225_045842    160    BAND5    1
